Designator,Mid X,Mid Y,Rotation,Layer
C1,104.0,-79.0,0.0,top
C10,151.5,-93.0,0.0,top
C11,146.5,-91.0,0.0,top
C12,135.5,-83.0,180.0,top
C13,126.0,-60.5,90.0,top
C14,129.0,-60.0,180.0,top
C15,128.5,-69.5,0.0,top
C2,117.5,-90.5,0.0,top
C3,131.0,-95.0,180.0,top
C4,146.0,-80.5,0.0,top
C5,134.05,-73.45,0.0,top
C6,105.5,-70.5,0.0,top
C7,105.5,-72.5,0.0,top
C8,105.45,-74.55,180.0,top
C9,146.5,-99.0,0.0,top
D1,124.5,-86.5,90.0,top
D2,122.0,-86.5,90.0,top
D3,114.5,-98.0,0.0,top
D4,147.0,-83.0,180.0,top
D5,106.0,-86.0,180.0,top
D6,106.0,-98.0,0.0,top
D7,106.0,-93.5,0.0,top
J1,100.4,-60.0,0.0,top
J3,124.5,-94.5,0.0,top
J4,152.0,-82.5,0.0,top
J6,94.5,-83.5,270.0,top
J7,94.5,-94.5,270.0,top
L1,154.5,-77.0,90.0,top
L2,138.5,-86.0,180.0,top
Q1,137.0,-96.0,0.0,top
R1,128.0,-86.5,90.0,top
R10,105.5,-68.5,180.0,top
R11,105.5,-64.5,180.0,top
R12,104.175,-82.0,0.0,top
R13,107.675,-82.0,0.0,top
R14,146.5,-95.0,0.0,top
R15,146.5,-97.0,0.0,top
R16,146.5,-93.0,0.0,top
R17,112.5,-93.5,0.0,top
R18,117.5,-93.5,0.0,top
R19,125.5,-66.5,90.0,top
R2,127.5,-83.0,0.0,top
R20,135.0,-66.0,90.0,top
R21,121.005,-73.755,0.0,top
R22,121.005,-76.265,0.0,top
R3,131.5,-83.0,0.0,top
R4,139.0,-83.0,90.0,top
R5,131.5,-86.5,90.0,top
R6,142.5,-80.5,0.0,top
R7,137.55,-70.5,0.0,top
R8,137.5,-68.5,0.0,top
R9,105.5,-66.5,0.0,top
SW1,114.4,-76.5,0.0,top
SW2,127.4,-76.5,0.0,top
TP1,144.0,-87.5,0.0,top
TP2,148.0,-87.5,0.0,top
TP3,142.0,-60.5,0.0,top
TP4,138.0,-60.5,0.0,top
U1,117.05,-63.45,0.0,top
U2,146.55,-72.95,0.0,top
U3,114.8,-85.2,270.0,top
U4,132.8625,-91.0,180.0,top
U5,138.24,-90.5,0.0,top
U6,130.63,-64.5,0.0,top
